username, created_at, lng, lat, textAndreChandlerJr, Sun Jan 17 17:11:59 +0000 2021, -82.949623, 42.538802, I just wanna take the time out and just say THANK YOU GOD 🙇🏽‍♂️🙏🏽
NotDylanHackman, Sun Jan 17 17:12:08 +0000 2021, -92.436774, 38.304558, @jaketapper @NewYorker They were just following orders of @HawleyMO @tedcruz and the moron soon to be ex president
TiffRichElliott, Sun Jan 17 17:12:08 +0000 2021, -122.166004, 47.180856, @DarnayJesse @MickAnnie @NatashaLink1 @AnastasiaBway @ChristyAltomare I haven't, Dad did pass recently, so I probab… https://t.co/dkPzaONHjJ
frozenfldrinks, Sun Jan 17 17:12:08 +0000 2021, -89.569491, 44.900818, Agreed
barkusjay, Sun Jan 17 17:12:08 +0000 2021, -96.731143, 43.541015, @Dakota_Alliance great philosophy right here! Read it!!
flipuspmc, Sun Jan 17 17:12:08 +0000 2021, -86.290863, 41.679655, @thehill Good
MCWisniewski1, Sun Jan 17 17:12:08 +0000 2021, -83.804475, 27.698682, @santiagomayer_ @2018Avalanche NO ITS SAD !
vntristic, Sun Jan 17 17:12:08 +0000 2021, -73.968542, 40.780709, A lot of noise making the case for Miami. Quieter more confident group migrating to Austin. Quality of life better… https://t.co/tLFzW3LthS
PoopScoopSF, Sun Jan 17 17:12:08 +0000 2021, -122.414409, 37.780895, "Feces" (Civic Center, D6) https://t.co/S0ii1zyKKl https://t.co/fq9hLzSzqR
Brianabelle_, Sun Jan 17 17:12:08 +0000 2021, -73.948775, 40.655138, Nah if someone can buy me these I’ll put a ring on it RIGHT NOW https://t.co/pJBwGofB4B
JahBRockfam, Sun Jan 17 17:12:08 +0000 2021, -73.968542, 40.780709, Si yo tiye yn koulèv Odma mouri ebyen opozisyon an met sezi ti bot jón ak ti chemiz jomo a li prale https://t.co/SSNz5BdHFY
nataylor2016, Sun Jan 17 17:12:08 +0000 2021, -94.030998, 29.979366, The world behind me the cross before me ❤️
Hoosier84, Sun Jan 17 17:12:08 +0000 2021, -77.014398, 38.898603, The reason the internet was invented...https://t.co/1lgyYjIXqd
kylestanley, Sun Jan 17 17:12:09 +0000 2021, -93.606369, 41.576437, Blane Howard • Run It Back • CHIEFS HYPE VIDEO #RunItBack https://t.co/d9OaF7Y41n via @YouTube
highimgio, Sun Jan 17 17:12:09 +0000 2021, -81.705467, 41.495940, @BigDaddyCooter Bro I’m hip, where you be getting them?
ZackKelly25, Sun Jan 17 17:12:09 +0000 2021, -79.420865, 38.003376, Allow God to make your decisions for you!
KingMarcus25, Sun Jan 17 17:12:09 +0000 2021, -82.985772, 39.994684, Some folks are really ok with letting others treat them horrible and they accept it rather than change it and it’s… https://t.co/uxR1yeLDcc
dirtyserpent, Sun Jan 17 17:12:09 +0000 2021, -73.980581, 40.758148, @Naivety_Queen Хм... может, она не довольна там чем-то?.. или может она хочет в двух салонах работать. Так делают иногда.
grundrza, Sun Jan 17 17:12:09 +0000 2021, -79.857363, 36.090397, You’re a Yale prof, fascism is your main hustle, you get a NYT Mag cover story, and the best you can come up with i… https://t.co/3PIbXhGXKc
BenBobickWRCB, Sun Jan 17 17:12:09 +0000 2021, -85.242564, 35.091954, Ideal start. #LetsGoPens
SDakotaSoccer, Sun Jan 17 17:12:09 +0000 2021, -98.464337, 45.461543, The fact that @nbc is pay-walling the Man U/Liverpool game on peacock is why soccer is always going to struggle to… https://t.co/b5FJEuOlS3
TStackhouseWMTW, Sun Jan 17 17:12:09 +0000 2021, -69.961999, 43.935732, @tfleck721 I had to google what this means 😂
SmokeSquadTV, Sun Jan 17 17:12:09 +0000 2021, -73.735313, 40.951103, Just posted a photo @ Smokehouse Tailgate Grill https://t.co/boSlyH6Ql8
